Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Botswana,AFR,2021,0.595,0.486,LD,-0.8648058176040649,-2.322,0.136,0.197,-2.021,-1.736,-1.77,-1.786,-0.314,Cameroon,AF,0.299,EA,0.38249289989471436,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Brazil,WHA,2021,0.661,0.512,ED,-0.08610236644744873,0.001,2.246,0.888,0.291,-1.578,-1.984,-0.449,-0.936,Egypt,MENA,0.184,EA,1.2696696519851685,NOT FREE,26.0,3109.9978919942337,51.0,1,49.0,0,1,1,1,1,1,0,Honeywell,Huawei,0,0,0
Bulgaria,EUR,2021,0.656,0.548,ED,-0.9162578582763672,-1.188,-0.228,0.071,-2.046,-1.797,-1.836,-1.417,-1.651,Hungary,EUR,0.462,EA,-0.5091547966003418,FREE,70.0,1642.3384404121075,63.0,1,23.0,0,1,0,1,0,0,0,0,0,0,0,0
Burkina Faso,AFR,2021,0.664,0.476,ED,0.9356576800346375,1.981,-0.648,-0.612,0.654,2.268,1.38,1.549,1.043,India,SCA,0.444,EA,1.0128743648529053,PARTLY FREE,49.0,66510.28910847427,4.0,0,36.0,1,1,1,1,1,1,"India, Japan",NEC,ADRIN,Infinova,Hikvision,Microsoft
Burma/Myanmar,EAP,2021,0.126,0.083,CA,2.0146143436431885,2.34,3.092,-0.149,1.776,2.314,2.732,3.011,3.054,Iran,MENA,0.182,EA,1.5861632823944092,NOT FREE,16.0,13194.151136686985,18.0,1,19.0,1,1,1,1,1,0,0,ZTE,CETC,0,0,0
Burundi,AFR,2021,0.184,0.076,EA,1.0659533739089966,0.975,1.384,1.812,0.783,0.298,1.154,1.155,2.876,Iraq,MENA,0.373,EA,0.6352831125259399,PARTLY FREE,41.0,6317.977150052539,32.0,1,,1,1,0,0,1,0,0,Huawei,0,0,0,0
Cambodia,EAP,2021,0.195,0.065,EA,0.9475269913673401,1.027,2.433,1.159,2.514,-0.53,-0.625,0.876,2.105,Ivory Coast,AF,0.431,EA,0.1633661985397339,NO DATA,,607.8482178844936,82.0,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Cameroon,AFR,2021,0.299,0.126,EA,0.38249289989471436,0.746,-0.328,-0.305,-0.471,0.263,0.076,1.315,1.417,Kazakhstan,SCA,0.257,EA,1.1713413000106812,NOT FREE,33.0,1613.5893332016549,64.0,1,12.0,1,1,1,1,1,0,Russia,Speech Technology Center,Analytical Business Solutions,Huawei,0,0
Canada,WHA,2021,0.857,0.755,LD,-1.3299667835235596,-1.605,-2.149,-1.672,-1.845,-1.809,-1.753,-1.962,-2.444,Kenya,AF,0.471,EA,-0.1777755171060562,PARTLY FREE,66.0,1097.4581530508262,69.0,1,,1,1,1,1,1,0,"Kenya, Israel, Japan",Huawei,Safaricom,NEC,Webintpro,0
Cape Verde,AFR,2021,0.747,0.648,ED,-0.9091001749038696,-1.988,-1.33,-0.999,-1.502,-1.281,-1.327,-1.066,-1.399,Kyrgyzstan,SCA,0.421,EA,-0.13705261051654816,PARTLY FREE,53.0,121.16361989925538,118.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Central African Republic,AFR,2021,0.333,0.161,EA,-0.21816396713256836,-1.275,0.044,1.379,-0.556,-0.546,-1.064,-1.17,0.6,Lebanon,MENA,0.455,EA,0.6680009365081787,PARTLY FREE,51.0,2775.557816206579,52.0,1,,1,0,1,0,0,1,Lebanon,Guardia,Crestron,0,0,0
Chad,AFR,2021,0.209,0.067,CA,1.369814395904541,0.67,1.373,0.861,1.673,2.146,2.549,1.122,1.567,Madagascar,AF,0.481,EA,0.04247484356164932,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Chile,WHA,2021,0.834,0.77,LD,-0.937402069568634,-1.34,-1.191,-0.38,-1.098,-1.846,-1.913,-1.19,-1.598,Malaysia,EAP,0.413,EA,-0.07614320516586304,PARTLY FREE,58.0,3469.8282067914524,49.0,1,4.0,1,1,1,1,1,0,"Malaysia, Israel, Japan",Huawei,Yitu,NEC,IBM,0
China,EAP,2021,0.078,0.044,CA,1.887926697731018,3.066,2.606,2.694,2.86,0.703,2.104,2.345,2.528,Nigeria,AF,0.491,EA,-0.14425890147686005,PARTLY FREE,59.0,,,1,,1,0,0,1,1,0,0,Huawei,0,0,0,0
Colombia,WHA,2021,0.645,0.471,ED,0.7678020596504211,2.351,1.348,1.854,1.267,0.039,-0.156,0.709,0.231,Pakistan,SCA,0.363,EA,0.654068112373352,NOT FREE,25.0,11375.525626091723,20.0,1,41.0,1,1,1,1,1,0,Canada,Huawei,Sandvine,0,0,0
Comoros,AFR,2021,0.32,0.126,EA,0.3674105703830719,0.357,0.749,0.009,0.816,0.073,-0.462,0.246,0.601,Papua New Guinea,EAP,0.425,EA,-0.8511118292808533,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Costa Rica,WHA,2021,0.9,0.85,LD,-1.1858389377593994,-2.312,-2.399,-2.2,-1.088,-1.737,-1.756,-0.922,-1.825,Philippines,EAP,0.429,EA,0.42016786336898804,PARTLY FREE,65.0,3769.7410112679463,46.0,1,28.0,1,1,1,1,1,1,"Israel, Philippines",Huawei,CITCC,IBM,Boeing,Verint
Croatia,EUR,2021,0.751,0.634,ED,-0.8977238535881042,-0.961,-1.418,-0.52,-1.744,-1.212,-1.395,-1.853,-1.052,Russia,EUR,0.257,EA,0.8932768702507019,NOT FREE,30.0,61387.546980435385,6.0,1,10.0,1,1,1,1,1,1,Russia,Mult,NTechLab,Ladakom-Service,Speech Technology Center,Analytical Business Solutions
Cuba,WHA,2021,0.181,0.077,CA,1.7623165845870972,2.155,3.145,2.897,3.317,1.41,1.168,0.982,2.466,Serbia,EUR,0.336,EA,-0.005861305631697178,FREE,71.0,904.3233914539239,73.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Cyprus,EUR,2021,0.816,0.689,LD,-1.0484323501586914,-1.357,-1.269,-1.647,-1.951,-1.899,-1.78,-0.962,-1.4,Singapore,EAP,0.404,EA,0.04856400191783905,PARTLY FREE,54.0,10841.000268987831,22.0,1,1.0,1,1,1,0,1,1,"France, Japan",Huawei,Yitu,Tascent,Dassault,Accenture
Czech Republic,EUR,2021,0.805,0.709,ED,-1.0522923469543457,-1.164,-0.43,-0.687,-1.76,-1.848,-1.937,-1.555,-2.634,Tajikistan,SCA,0.184,EA,1.6165735721588135,NO DATA,,,,1,,1,1,0,1,1,0,0,Huawei,0,0,0,0
Democratic Republic of the Congo,AFR,2021,0.358,0.16,EA,0.13343968987464905,0.193,-0.007,0.034,-0.42,0.052,0.183,-0.436,0.518,Tunisia,MENA,0.556,EA,-0.47025859355926514,PARTLY FREE,63.0,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Denmark,EUR,2021,0.908,0.877,LD,-1.5376280546188354,-2.096,-2.67,-2.993,-2.336,-1.773,-1.739,-1.94,-2.529,Turkey,EUR,0.279,EA,1.1891378164291382,NOT FREE,34.0,18967.113030797886,15.0,1,46.0,1,1,1,1,1,0,"Turkey, South Korea",HAVESLAN,Dahua,Hanwha Techwin,0,0
Djibouti,AFR,2021,0.252,0.124,EA,0.8972599506378174,0.88,1.077,0.874,0.781,0.541,1.065,1.569,1.138,Uganda,AF,0.284,EA,0.9422240853309631,PARTLY FREE,49.0,408.3675667134496,94.0,1,,1,1,0,1,1,0,0,Huawei,0,0,0,0
Dominican Republic,WHA,2021,0.683,0.472,ED,-1.2249845266342163,-0.977,-2.039,-0.421,-2.213,-1.653,-1.7,-1.857,-2.492,Venezuela,WHA,0.219,EA,1.680777907371521,NOT FREE,28.0,,,1,59.0,0,1,0,0,1,0,0,Huawei,ZTE,CEIEC,0,0
Ecuador,WHA,2021,0.644,0.466,ED,0.18134592473506927,0.531,0.296,0.726,0.343,-0.83,-0.755,1.045,-0.22,Zambia,AF,0.379,EA,0.3870250880718231,PARTLY FREE,59.0,378.0254309589422,98.0,1,,1,1,0,0,1,0,0,Huawei,ZTE,Hikvision,0,0
Egypt,MENA,2021,0.184,0.123,EA,1.2696696519851685,1.254,2.351,1.266,2.441,0.289,0.75,1.19,2.387,Zimbabwe,AF,0.281,EA,1.0226870775222778,PARTLY FREE,46.0,420.364,91.0,1,,0,1,1,0,1,0,0,Huawei,Hikvision,CloudWalk,0,0
El Salvador,WHA,2021,0.467,0.215,EA,-0.3572511672973633,-0.507,1.776,0.965,-1.381,-1.697,-1.733,-0.971,-0.458,Argentina,WHA,0.819,ED,-1.1312596797943115,FREE,71.0,4144.991771422125,43.0,1,51.0,0,1,1,1,1,1,"Sweden, Germany, Japan",Huawei,ZTE,NEC,Bosch,Oracle
Equatorial Guinea,AFR,2021,0.174,0.054,EA,1.396911859512329,2.895,0.819,0.34,1.343,1.105,1.994,1.841,2.689,Armenia,EUR,0.739,ED,-0.574159562587738,FREE,71.0,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
