Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Kosovo,EUR,2021,0.601,0.421,ED,-0.5411210656166077,0.856,-1.014,-0.318,-1.443,-1.447,-1.0,-0.288,-1.652,France,EUR,0.874,LD,-0.657324492931366,FREE,78.0,63799.676593132914,5.0,0,27.0,1,1,1,1,1,1,"France, Finland, Japan",Huawei,ZTE,Thales,Teleste,Palantir
Kuwait,MENA,2021,0.298,0.272,CA,0.20378126204013824,0.768,0.6,-0.218,0.551,-0.713,-1.404,1.017,0.464,Germany,EUR,0.87,LD,-0.9589992165565491,FREE,79.0,49470.627810629936,8.0,0,20.0,1,1,1,1,1,1,Germany,Huawei,Palantir,IfmPt,Secunet,0
Kyrgyzstan,SCA,2021,0.421,0.269,EA,-0.13705261051654816,-0.406,0.406,0.252,-0.316,-0.857,-1.082,-0.49,0.186,Greece,EUR,0.797,LD,-1.0740736722946167,NO DATA,,,,0,,0,1,1,0,0,0,Greece,Intracom Telecom,0,0,0,0
Laos,EAP,2021,0.133,0.097,CA,0.5709966421127319,1.451,0.662,-1.113,0.958,-0.723,-0.514,1.12,2.669,Israel,MENA,0.739,LD,-0.25027185678482056,NO DATA,,15946.788601441198,17.0,0,11.0,1,1,1,1,0,1,Israel,Verint,NICE,AnyVision,Elbit,BriefCam
Latvia,EUR,2021,0.826,0.733,LD,-1.4121547937393188,-1.732,-2.858,-0.9,-2.005,-1.78,-1.77,-2.037,-2.473,Italy,EUR,0.851,LD,-1.096622109413147,FREE,76.0,27807.513898233065,11.0,1,50.0,1,1,1,1,1,0,"Italy, Russia, South Korea",Huawei,Parsec,Axxonsoft,Hanwha Techwin,0
Lebanon,MENA,2021,0.455,0.282,EA,0.6680009365081787,0.857,1.179,2.228,-0.351,0.043,0.436,1.168,1.175,Japan,EAP,0.835,LD,-1.1231129169464111,FREE,76.0,46617.95486395364,9.0,0,14.0,0,1,1,0,0,0,Japan,NEC,0,0,0,0
Lesotho,AFR,2021,0.623,0.503,ED,-0.13081729412078857,0.128,0.228,0.406,-0.462,-1.1,-0.96,-0.182,-0.093,Netherlands,EUR,0.862,LD,-1.2327889204025269,NO DATA,,11242.75580420901,21.0,0,31.0,1,1,1,0,1,0,France,IDEMIA,Huawei,Hikvision,0,0
Liberia,AFR,2021,0.624,0.46,ED,-0.12573204934597015,-0.897,0.182,-1.136,-0.538,-0.186,-0.635,-0.418,0.432,New Zealand,EAP,0.887,LD,-1.1436853408813477,NO DATA,,2262.9283118815556,56.0,1,35.0,0,1,1,0,1,1,New Zealand,Palantir,Hikvision,0,0,0
Libya,MENA,2021,0.272,0.15,CA,0.07349327206611633,-0.605,0.658,1.002,-1.114,0.22,0.011,-0.226,-0.177,South Korea,EAP,0.861,LD,-1.0636382102966309,PARTLY FREE,67.0,43069.97334287524,10.0,1,7.0,1,1,1,1,0,1,"South KorElectoral Autocracy, SwElectoral Democracyen, Russia",0,Korea Telecom,SK Telecom,LG Uplus,Axxonsoft
Lithuania,EUR,2021,0.797,0.736,ED,-1.3276070356369019,-1.85,-1.838,-1.459,-2.473,-1.723,-1.782,-1.929,-1.995,Spain,EUR,0.856,LD,-1.1170341968536377,NO DATA,,18248.291491094504,16.0,0,42.0,1,1,1,0,1,1,Spain,Huawei,IBM,SICE,Herta,0
Luxembourg,EUR,2021,0.878,0.797,LD,-1.1722033023834229,-1.568,-1.26,-1.038,-2.42,-1.726,-1.712,-1.858,-1.644,Sweden,EUR,0.907,LD,-1.4837185144424438,NO DATA,,,,0,,0,1,1,0,0,1,0,Clearview AI,0,0,0,0
Madagascar,AFR,2021,0.481,0.241,EA,0.04247484356164932,0.862,0.626,1.542,-0.912,-0.68,-0.94,-0.653,0.749,Switzerland,EUR,0.885,LD,-1.4362410306930542,NO DATA,,4795.847181198755,38.0,0,6.0,1,1,0,0,0,0,Turkey,Ekin,0,0,0,0
Malawi,AFR,2021,0.618,0.533,ED,-0.566785454750061,0.257,-0.796,-0.318,-1.488,-0.985,-1.855,-0.614,-0.629,Taiwan,EAP,0.813,LD,-0.5940704941749573,FREE,80.0,10713.677601643847,23.0,0,13.0,0,1,0,0,0,0,"Taiwan, Japan",Lilin,Gorilla,NEC,0,0
Malaysia,EAP,2021,0.413,0.293,EA,-0.07614320516586304,0.266,-0.179,-0.87,-0.445,-0.721,-0.56,-0.05,0.362,United Kingdom,EUR,0.863,LD,-0.654357373714447,FREE,78.0,49997.2,7.0,0,40.0,1,1,1,1,1,1,Japan,Hikvision,NEC,Palantir,0,0
Maldives,SCA,2021,0.596,0.445,ED,-0.012293493375182152,0.252,-0.745,0.231,0.158,-0.462,-0.175,-0.32,-0.077,UnitElectoral Democracy States of AmeriClosed Autocracy,WHA,0.821,LD,-0.5131415724754333,FREE,75.0,648798.273,1.0,0,2.0,1,1,1,1,0,1,"Israel, Japan",Mult,Cognitec,Palantir,PredPol,Amazon
Mali,AFR,2021,0.254,0.183,CA,-0.25241202116012573,-0.025,-1.596,-1.329,-0.486,-0.605,-1.681,1.216,0.665,Uruguay,WHA,0.841,LD,-1.1822233200073242,NO DATA,,1168.1308137356139,68.0,1,,1,1,1,0,1,1,Spain,ZTE,Palantir,Herta,0,0
